event_id,user_id,session_id,ts,event_name,device,channel
e_000001,u_000001,s_e_000001,2026-06-29 19:02:53 UTC,signup_completed,web,organic
e_000002,u_000002,s_e_000002,2026-06-29 16:13:08 UTC,signup_completed,ios,organic
e_000003,u_000003,s_e_000003,2026-06-29 03:38:55 UTC,signup_completed,ios,organic
e_000004,u_000004,s_e_000004,2026-06-29 04:02:36 UTC,signup_completed,ios,organic
e_000005,u_000005,s_e_000005,2026-06-29 20:34:49 UTC,signup_completed,ios,organic
e_000006,u_000006,s_e_000006,2026-06-29 19:52:17 UTC,signup_completed,ios,organic
e_000007,u_000007,s_e_000007,2026-06-29 23:45:37 UTC,signup_completed,ios,organic
e_000008,u_000008,s_e_000008,2026-06-29 17:18:07 UTC,signup_completed,ios,organic
e_000009,u_000009,s_e_000009,2026-06-29 09:22:58 UTC,signup_completed,ios,organic
e_000010,u_000010,s_e_000010,2026-06-29 05:50:16 UTC,signup_completed,android,organic
e_000011,u_000011,s_e_000011,2026-06-29 07:28:53 UTC,signup_completed,web,organic
e_000012,u_000012,s_e_000012,2026-06-29 03:46:25 UTC,signup_completed,android,organic
e_000013,u_000013,s_e_000013,2026-06-29 20:08:23 UTC,signup_completed,ios,organic
e_000014,u_000014,s_e_000014,2026-06-29 22:48:30 UTC,signup_completed,web,organic
e_000015,u_000015,s_e_000015,2026-06-29 15:19:39 UTC,signup_completed,web,organic
e_000016,u_000016,s_e_000016,2026-06-29 07:45:29 UTC,signup_completed,web,organic
e_000017,u_000017,s_e_000017,2026-06-29 18:52:19 UTC,signup_completed,web,organic
e_000018,u_000018,s_e_000018,2026-06-29 20:53:50 UTC,signup_completed,android,organic
e_000019,u_000019,s_e_000019,2026-06-29 03:32:11 UTC,signup_completed,android,organic
e_000020,u_000020,s_e_000020,2026-06-29 21:58:03 UTC,signup_completed,android,organic
e_000021,u_000021,s_e_000021,2026-06-29 17:42:18 UTC,signup_completed,android,organic
