attempt_id,event_id,user_id,ts,status,amount_cents
pa_000001,e_000001,u_000001,2026-06-29 19:02:53 UTC,succeeded,1999
pa_000002,e_000002,u_000002,2026-06-29 16:13:08 UTC,succeeded,1999
pa_000003,e_000003,u_000003,2026-06-29 03:38:55 UTC,succeeded,1999
pa_000004,e_000004,u_000004,2026-06-29 04:02:36 UTC,succeeded,1999
pa_000005,e_000005,u_000005,2026-06-29 20:34:49 UTC,succeeded,1999
pa_000006,e_000006,u_000006,2026-06-29 19:52:17 UTC,succeeded,1999
pa_000007,e_000007,u_000007,2026-06-29 23:45:37 UTC,succeeded,1999
pa_000008,e_000008,u_000008,2026-06-29 17:18:07 UTC,succeeded,1999
pa_000009,e_000009,u_000009,2026-06-29 09:22:58 UTC,succeeded,1999
pa_000010,e_000010,u_000010,2026-06-29 05:50:16 UTC,succeeded,1999
pa_000011,e_000011,u_000011,2026-06-29 07:28:53 UTC,succeeded,1999
pa_000012,e_000012,u_000012,2026-06-29 03:46:25 UTC,succeeded,1999
pa_000013,e_000013,u_000013,2026-06-29 20:08:23 UTC,succeeded,1999
pa_000014,e_000014,u_000014,2026-06-29 22:48:30 UTC,succeeded,1999
pa_000015,e_000015,u_000015,2026-06-29 15:19:39 UTC,succeeded,1999
pa_000016,e_000016,u_000016,2026-06-29 07:45:29 UTC,succeeded,1999
pa_000017,e_000017,u_000017,2026-06-29 18:52:19 UTC,succeeded,1999
pa_000018,e_000018,u_000018,2026-06-29 20:53:50 UTC,succeeded,1999
pa_000019,e_000019,u_000019,2026-06-29 03:32:11 UTC,succeeded,1999
pa_000020,e_000020,u_000020,2026-06-29 21:58:03 UTC,succeeded,1999
pa_000021,e_000021,u_000021,2026-06-29 17:42:18 UTC,succeeded,1999
pa_000022,e_000022,u_000022,2026-06-29 22:35:47 UTC,succeeded,1999
pa_000023,e_000023,u_000023,2026-06-29 18:32:22 UTC,succeeded,1999
pa_000024,e_000024,u_000024,2026-06-29 23:43:22 UTC,succeeded,1999
pa_000025,e_000025,u_000025,2026-06-29 00:43:56 UTC,succeeded,1999
pa_000026,e_000026,u_000026,2026-06-29 07:15:34 UTC,succeeded,1999
pa_000027,e_000027,u_000027,2026-06-29 22:19:44 UTC,succeeded,1999
pa_000028,e_000028,u_000028,2026-06-29 03:57:28 UTC,succeeded,1999
pa_000029,e_000029,u_000029,2026-06-29 04:32:11 UTC,succeeded,1999
pa_000030,e_000030,u_000030,2026-06-29 00:27:17 UTC,succeeded,1999
pa_000031,e_000031,u_000031,2026-06-29 06:20:31 UTC,succeeded,1999
pa_000032,e_000032,u_000032,2026-06-29 17:05:47 UTC,succeeded,1999
pa_000033,e_000033,u_000033,2026-06-29 03:58:54 UTC,succeeded,1999
pa_000034,e_000034,u_000034,2026-06-29 15:07:20 UTC,succeeded,1999
pa_000035,e_000035,u_000035,2026-06-29 11:04:17 UTC,succeeded,1999
pa_000036,e_000036,u_000036,2026-06-29 23:09:03 UTC,succeeded,1999
pa_000037,e_000037,u_000037,2026-06-29 21:24:55 UTC,succeeded,1999
pa_000038,e_000038,u_000038,2026-06-29 02:10:04 UTC,succeeded,1999
pa_000039,e_000039,u_000039,2026-06-29 07:33:10 UTC,succeeded,1999
pa_000040,e_000040,u_000040,2026-06-29 00:56:06 UTC,succeeded,1999
pa_000041,e_000041,u_000041,2026-06-29 03:04:31 UTC,succeeded,1999
pa_000042,e_000042,u_000042,2026-06-29 02:45:18 UTC,succeeded,1999
pa_000043,e_000043,u_000043,2026-06-29 05:34:09 UTC,succeeded,1999
pa_000044,e_000044,u_000044,2026-06-29 18:46:04 UTC,succeeded,1999
pa_000045,e_000045,u_000045,2026-06-29 17:53:12 UTC,succeeded,1999
pa_000046,e_000046,u_000046,2026-06-29 01:40:50 UTC,succeeded,1999
pa_000047,e_000047,u_000047,2026-06-29 03:32:08 UTC,succeeded,1999
pa_000048,e_000048,u_000048,2026-06-29 16:19:52 UTC,succeeded,1999
pa_000049,e_000049,u_000049,2026-06-29 02:32:50 UTC,succeeded,1999
pa_000050,e_000050,u_000050,2026-06-29 03:27:03 UTC,succeeded,1999
pa_000051,e_000051,u_000051,2026-06-29 14:40:17 UTC,succeeded,1999
pa_000052,e_000052,u_000052,2026-06-29 09:08:51 UTC,succeeded,1999
pa_000053,e_000053,u_000053,2026-06-29 14:04:21 UTC,succeeded,1999
pa_000054,e_000054,u_000054,2026-06-29 15:36:28 UTC,succeeded,1999
pa_000055,e_000055,u_000055,2026-06-29 14:47:38 UTC,succeeded,1999
pa_000056,e_000056,u_000056,2026-06-29 20:25:56 UTC,succeeded,1999
pa_000057,e_000057,u_000057,2026-06-29 04:59:36 UTC,succeeded,1999
pa_000058,e_000058,u_000058,2026-06-29 13:52:42 UTC,succeeded,1999
pa_000059,e_000059,u_000059,2026-06-29 08:39:29 UTC,succeeded,1999
pa_000060,e_000060,u_000060,2026-06-29 10:58:04 UTC,succeeded,1999
pa_000061,e_000061,u_000061,2026-06-29 22:45:07 UTC,succeeded,1999
pa_000062,e_000062,u_000062,2026-06-29 20:00:28 UTC,succeeded,1999
pa_000063,e_000063,u_000063,2026-06-29 08:07:37 UTC,succeeded,1999
pa_000064,e_000064,u_000064,2026-06-29 21:32:00 UTC,succeeded,1999
pa_000065,e_000065,u_000065,2026-06-29 12:28:55 UTC,succeeded,1999
pa_000066,e_000066,u_000066,2026-06-29 18:25:21 UTC,succeeded,1999
pa_000067,e_000067,u_000067,2026-06-29 17:27:01 UTC,succeeded,1999
pa_000068,e_000068,u_000068,2026-06-29 23:29:31 UTC,succeeded,1999
pa_000069,e_000069,u_000069,2026-06-29 19:33:53 UTC,succeeded,1999
pa_000070,e_000070,u_000070,2026-06-29 12:57:42 UTC,succeeded,1999
pa_000071,e_000071,u_000071,2026-06-29 16:08:43 UTC,succeeded,1999
pa_000072,e_000072,u_000072,2026-06-29 04:43:44 UTC,succeeded,1999
pa_000073,e_000073,u_000073,2026-06-29 16:42:55 UTC,succeeded,1999
pa_000074,e_000074,u_000074,2026-06-29 03:21:35 UTC,succeeded,1999
pa_000075,e_000075,u_000075,2026-06-29 15:36:06 UTC,succeeded,1999
pa_000076,e_000076,u_000076,2026-06-29 13:30:57 UTC,succeeded,1999
pa_000077,e_000077,u_000077,2026-06-29 12:33:11 UTC,succeeded,1999
pa_000078,e_000078,u_000078,2026-06-29 00:03:42 UTC,succeeded,1999
pa_000079,e_000079,u_000079,2026-06-29 15:35:13 UTC,succeeded,1999
pa_000080,e_000080,u_000080,2026-06-29 23:43:34 UTC,succeeded,1999
pa_000081,e_000081,u_000081,2026-06-29 19:11:52 UTC,succeeded,1999
pa_000082,e_000082,u_000082,2026-06-29 10:44:46 UTC,succeeded,1999
pa_000083,e_000083,u_000083,2026-06-29 13:29:34 UTC,succeeded,1999
pa_000084,e_000084,u_000084,2026-06-29 22:09:05 UTC,succeeded,1999
pa_000085,e_000085,u_000085,2026-06-29 00:34:56 UTC,succeeded,1999
pa_000086,e_000086,u_000086,2026-06-29 19:03:00 UTC,succeeded,1999
pa_000087,e_000087,u_000087,2026-06-29 06:14:59 UTC,succeeded,1999
pa_000088,e_000088,u_000088,2026-06-29 17:49:19 UTC,succeeded,1999
pa_000089,e_000089,u_000089,2026-06-29 18:07:52 UTC,succeeded,1999
pa_000090,e_000090,u_000090,2026-06-29 01:49:08 UTC,succeeded,1999
pa_000091,e_000091,u_000091,2026-06-29 15:00:47 UTC,succeeded,1999
pa_000092,e_000092,u_000092,2026-06-29 17:44:36 UTC,succeeded,1999
pa_000093,e_000093,u_000093,2026-06-29 17:10:48 UTC,succeeded,1999
pa_000094,e_000094,u_000094,2026-06-29 23:32:39 UTC,succeeded,1999
pa_000095,e_000095,u_000095,2026-06-29 07:10:50 UTC,succeeded,1999
pa_000096,e_000096,u_000096,2026-06-29 07:05:32 UTC,succeeded,1999
pa_000097,e_000097,u_000097,2026-06-29 21:04:35 UTC,succeeded,1999
pa_000098,e_000098,u_000098,2026-06-29 15:47:39 UTC,succeeded,1999
pa_000099,e_000099,u_000099,2026-06-29 04:01:00 UTC,succeeded,1999
pa_000100,e_000100,u_000100,2026-06-29 19:30:39 UTC,succeeded,1999
pa_000101,e_000101,u_000101,2026-06-29 19:45:05 UTC,succeeded,1999
pa_000102,e_000102,u_000102,2026-06-29 04:23:51 UTC,succeeded,1999
pa_000103,e_000103,u_000103,2026-06-29 15:25:20 UTC,succeeded,1999
pa_000104,e_000104,u_000104,2026-06-29 19:00:38 UTC,succeeded,1999
pa_000105,e_000105,u_000105,2026-06-29 18:14:44 UTC,succeeded,1999
pa_000106,e_000106,u_000106,2026-06-29 00:31:08 UTC,succeeded,1999
pa_000107,e_000107,u_000107,2026-06-29 14:58:55 UTC,succeeded,1999
pa_000108,e_000108,u_000108,2026-06-29 01:09:00 UTC,succeeded,1999
pa_000109,e_000109,u_000109,2026-06-29 05:57:33 UTC,succeeded,1999
pa_000110,e_000110,u_000110,2026-06-29 05:24:52 UTC,succeeded,1999
pa_000111,e_000111,u_000111,2026-06-29 07:29:48 UTC,succeeded,1999
pa_000112,e_000112,u_000112,2026-06-29 05:19:28 UTC,succeeded,1999
pa_000113,e_000113,u_000113,2026-06-29 23:51:44 UTC,succeeded,1999
pa_000114,e_000114,u_000114,2026-06-29 04:49:33 UTC,succeeded,1999
pa_000115,e_000115,u_000115,2026-06-29 23:02:24 UTC,succeeded,1999
pa_000116,e_000116,u_000116,2026-06-29 17:05:40 UTC,succeeded,1999
pa_000117,e_000117,u_000117,2026-06-29 22:04:55 UTC,succeeded,1999
