user_id,signup_date,acquisition_channel,region
u_000001,2026-06-29,organic,us
u_000002,2026-06-29,organic,us
u_000003,2026-06-29,organic,us
u_000004,2026-06-29,organic,eu
u_000005,2026-06-29,organic,eu
u_000006,2026-06-29,organic,in
u_000007,2026-06-29,organic,in
u_000008,2026-06-29,organic,in
u_000009,2026-06-29,organic,in
u_000010,2026-06-29,organic,us
u_000011,2026-06-29,organic,eu
u_000012,2026-06-29,organic,in
u_000013,2026-06-29,organic,eu
u_000014,2026-06-29,organic,in
u_000015,2026-06-29,organic,us
u_000016,2026-06-29,organic,eu
u_000017,2026-06-29,organic,us
u_000018,2026-06-29,organic,us
u_000019,2026-06-29,organic,us
u_000020,2026-06-29,organic,eu
u_000021,2026-06-29,organic,us
u_000022,2026-06-29,organic,us
u_000023,2026-06-29,organic,us
u_000024,2026-06-29,organic,eu
u_000025,2026-06-29,organic,us
u_000026,2026-06-29,organic,us
u_000027,2026-06-29,organic,us
u_000028,2026-06-29,organic,us
u_000029,2026-06-29,organic,us
u_000030,2026-06-29,organic,us
u_000031,2026-06-29,organic,in
u_000032,2026-06-29,organic,us
u_000033,2026-06-29,organic,us
u_000034,2026-06-29,organic,in
u_000035,2026-06-29,organic,us
u_000036,2026-06-29,organic,eu
u_000037,2026-06-29,organic,us
u_000038,2026-06-29,organic,us
u_000039,2026-06-29,organic,us
u_000040,2026-06-29,organic,eu
u_000041,2026-06-29,organic,us
u_000042,2026-06-29,organic,us
u_000043,2026-06-29,paid_search,in
u_000044,2026-06-29,paid_search,us
u_000045,2026-06-29,paid_search,in
u_000046,2026-06-29,paid_search,us
u_000047,2026-06-29,paid_search,us
u_000048,2026-06-29,paid_search,in
u_000049,2026-06-29,paid_search,us
u_000050,2026-06-29,paid_search,in
u_000051,2026-06-29,paid_search,us
u_000052,2026-06-29,paid_search,us
u_000053,2026-06-29,paid_search,us
u_000054,2026-06-29,paid_search,us
u_000055,2026-06-29,paid_search,eu
u_000056,2026-06-29,paid_search,in
u_000057,2026-06-29,paid_search,eu
u_000058,2026-06-29,paid_search,us
u_000059,2026-06-29,paid_search,eu
u_000060,2026-06-29,paid_search,in
u_000061,2026-06-29,paid_search,eu
u_000062,2026-06-29,paid_search,in
u_000063,2026-06-29,paid_search,in
u_000064,2026-06-29,paid_search,us
u_000065,2026-06-29,paid_search,in
u_000066,2026-06-29,paid_search,eu
u_000067,2026-06-29,paid_search,eu
u_000068,2026-06-29,paid_search,us
u_000069,2026-06-29,paid_search,in
u_000070,2026-06-29,paid_search,eu
u_000071,2026-06-29,push,us
u_000072,2026-06-29,push,us
u_000073,2026-06-29,push,in
u_000074,2026-06-29,push,us
u_000075,2026-06-29,push,us
u_000076,2026-06-29,push,in
u_000077,2026-06-29,push,eu
u_000078,2026-06-29,push,us
u_000079,2026-06-29,push,us
u_000080,2026-06-29,push,us
u_000081,2026-06-29,push,us
u_000082,2026-06-29,push,eu
u_000083,2026-06-29,push,us
u_000084,2026-06-29,push,in
u_000085,2026-06-29,push,us
u_000086,2026-06-29,push,eu
u_000087,2026-06-29,push,us
u_000088,2026-06-29,push,us
u_000089,2026-06-29,push,in
u_000090,2026-06-29,push,us
